genreForm,accessionNumber,itemNumber,title,titlew1974,country,year,generation,dimensions,videoFormat,summary,duration,DigitizationNotes,note1,url,subj1,subj2,subj3
Unedited footage,0550-01-16135,16135,Four more years [raw footage: tape 012],,United States,,,1/2 in.,EIAJ,"[Contents:] Preconvention: George Smith -- NBC booth -- Girl scouts / boy scouts -- NBC tour -- Girl scouts -- Boy scouts. ; Pre-convention setup and rehearsals for parade of flags; tour of NBC trailer complex, including control room.",34:52,"Tape is moldy. ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program; Unstable Control Track; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Most errors (jitter, flagging, dropouts) are at points where operator stopped/started tape. Much less jitter/flagging than similar tapes in batch 1 overall. --AES 2019-10-07","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-012_16135,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16137,16137,Four more years [raw footage: tape 014],,United States,,,1/2 in.,EIAJ,"[Contents:] Karl Rove -- College republicans rap on Republican pyrotechnics -- Demonstration scene outside Eden Roc [hotel] -- Party for Bob Dole -- Dick Reeves -- NY Mag. ; Interviews with Young Republicans, including Karl Rove at 00:00:20. GOP reception [for Bob Dole?] with ice cake; interview with Dick Reeves at 00:25:45.",32:57,"Tape is moldy ; Digitization Vendor Comments: ""Sticky, required baking. Flagging noted, corrected with DS TBC. Defect in tube recorded in."" (Standby Program) ; Digitization QC Comments: Good quality digitization. Burned-in streak at bottom left of frame (inherent). --AES 2020-02-24","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-014_16137,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16139,16139,Four more years [raw footage: tape 016],,United States,,,1/2 in.,EIAJ,[Contents:] Young black sings -- Flag bearers -- Steve Rudee -- Silkscreen / water -- Old peeple [sic] -- Yippies -- Woman / disgusting -- ABC unit ; Pre-convention flagbearer practice and interviews in convention hall. Discussions between young activists (camping out in Flamingo Park) and older Miami residents starting around 00:17:35. Colorful interview with woman who hates the protestors starting 00:28:28.,31:30,"Tape is moldy. ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program;  Unstable Control Track; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Chrominance noise - why? Flagging is slight. Distorting/distracting jitter accompanies flagging throughout tape (for examples see footage around 00:04:15 and 00:17:00). Head switching extends quite high. Dropouts. --AES 2019-10-07","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-016_16139,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16140,16140,Four more years [raw footage: tape 017],,United States,,,1/2 in.,EIAJ,"[Contents:] Airport arrivals ; Interviewing youth waiting at airport to greet convention attendees as they arrive; arrivals, including Congressmen.",33:29,"Tape is moldy. ; Digitization Vendor Comments: Aligned Playback Level to program; Unstable Control Track; Aligned Audio Level to Program; Flagging Visible in Picture; Head Switching Visible;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. Tape was tails out on the reel. Corrected after playback. ; Digitization QC Note: Flagging with distorting jitter throughout tape (e.g. 00:11:11 but present at most points). Intermittent tracking errors in first half but worsen dramatically beginning 00:17:45. Dropouts and breakup at end of tape. --AES 2019-10-07","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-017_16140,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16141,16141,Four more years [raw footage: tape 018],,United States,,,1/2 in.,EIAJ,[Contents:] After [convention?]: Young voters welcoming various delegations ; Airport. Interviews with and about young voters.,35:07,"Tape is moldy. ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Head switching; mild flagging and some jitter. Notably few tracking errors. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-018_16141,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16142,16142,Four more years [raw footage: tape 019],,United States,,,1/2 in.,EIAJ,"[Contents:] ANARCHY -- Guerrilla theatre ; Nighttime clash Friday 8/18/72 between various groups (""Jesus freaks"" vs. others) in Flamingo Park; open-air music and theater jams.",21:47,"Tape is moldy. ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program; Unstable Control Track; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Tracking errors throughout tape. Head switching, flagging, and jittering. Small black spots in middle of frame. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-019_16142,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16143,16143,Four more years [raw footage: tape 020],,United States,,,1/2 in.,EIAJ,[Contents:] Meeting the mayor of Lanesville at airport ; Skip Blumberg arrives at Miami airport. 00:06:00 starts interviews with attendees in unidentified location (hotel lobby?).,28:29,"Tape is moldy. ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program; Unstable Control Track; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Heavy dropouts at head of tape through 00:00:40. Mild flagging, some jitter, and head switching throughout tape. Notably few tracking errors. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-020_16143,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16144,16144,Four more years [raw footage: tape 022],,United States,,,1/2 in.,EIAJ,"[Contents:] NBC newsroom -- Jack Weir and diagram of NBC system -- Nancy and Garrick Utley interview ; Saturday 8/19/72. NBC newsroom trailer. Interviews: Van Kardisch, Jack Wier, Garrick Utley (on convention floor).",32:57,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program; Unstable Control Track; Flagging Visible in Picture; Head Switching Visible;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. Tape was upside down on the reel, had to be corrected before capture. ; Digitization QC Note: Head switching, mild flagging. Dirt in frame. Dropouts. Notably few tracking errors until very end. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-022_16144,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16145,16145,Four more years [raw footage: tape 023],,United States,,,1/2 in.,EIAJ,"[Contents:] Ed Faught in charge of remote logistics / air control -- Van Kardison -- George Murray ; Saturday 8/19/72. Interview with Ed Fought from NBC air control; footage from within NBC control rooms; interview with George Murray, NBC executive producer (starts 00:21:00).",33:22,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Head switching, mild flagging. (Dirt?) in frame very noticeable in Scout shots (00:09:35), not evident in many other shots. Dropouts. Notably few tracking errors until very end. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-023_16145,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16146,16146,Four more years [raw footage: tape 024],,United States,,,1/2 in.,EIAJ,[Contents:] Michael Shamberg at TVTV house -- Nelson Rockefeller ; Saturday 8/19/72. TVTV process meeting through 00:13:05. Nelson Rockefeller speech to delegate breakfast.,32:03,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program; Unstable Control Track; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. Tape was upside down on the reel, had to be corrected before capture. ; Digitization QC Note: Head switching, mild flagging. Dirt in frame through 00:13:05, then black lines in frame noticeable through end of tape. Dropouts. Notably few tracking errors. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-024_16146,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
