"DigitizationNotes","recordingDate","recordingDigitalStatusValue","recordingDigitizer","recordingEventDescription","recordingEventRecordingNotes","recordingEventTitle","recordingFileSize","recordingLocation","recordingPermissions","recordingPFASeries","recordingTapeNumber","recordingTapeSide","FilmTitles","Speakers","lnfn"
"Tote 23-12","Tue Dec 05 00:00:00 PST 1978","Analog tape","MediaPreserve",,,,,"PFA",,,230,,"Mississippi Rolls|PACIFIC TIME","Louis Hock|Ron Maiberg","Hock, Louis|Maiberg, Ron"
"Tote 23-12","Tue Dec 12 00:00:00 PST 1978","Analog tape","MediaPreserve",,,,,"PFA",,,231,,"WITH BABIES AND BANNERS","Lorraine Gray|Ginora Johnson","Gray, Lorraine|Johnson, Ginora"
"Tote 23-12","Wed Dec 13 00:00:00 PST 1978","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,232,,"MASADA MIGHT FALL AGAIN","Ron Maiberg","Maiberg, Ron"
"Tote 23-12","Fri Jan 12 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,234,,"BLACK SUNDAY|CASTLE OF BLOOD|8 1/2|YOUNG TÖRLESS","Barbara Steele","Steele, Barbara"
"Tote 23-12","Mon Jan 15 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,236,,"GOLDEN DAWN|HEARTS IN DIXIE","William K. Everson","Everson, William K."
"Tote 23-12","Tue Jan 16 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,237,,"THE BAT WHISPERS|THE GHOUL|THE UNDYING MONSTER","William K. Everson","Everson, William K."
"Tote 23-12","Wed Jan 17 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,238,,"BRIEF ECSTASY|SEVEN SINNERS|NON-STOP NEW YORK","William K. Everson","Everson, William K."
"Tote 23-12","Thu Jan 18 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,239,,"THE DARE DEVIL REPORTER|THE HOLE IN THE WALL|THE ROAD BACK","William K. Everson","Everson, William K."
"Tote 23-12","Sat Jan 20 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,240,,"IT’S A GIFT|SONS OF THE DESERT","William K. Everson","Everson, William K."
"Tote 23-12","Tue Jan 23 00:00:00 PST 1979","Analog tape","MediaPreserve",,,"BEFORE ITALIAN NEO-REALISM 1860",,"PFA",,,241,,,"Adriano Aprà","Aprà, Adriano"
"Tote 23-12","Tue Jan 23 00:00:00 PST 1979","Analog tape","MediaPreserve","and poetry",,,,"PFA",,,242,,"SHADOW SISTER","Kath Walker","Walker, Kath"
"Tote 23-12","Tue Jan 23 00:00:00 PST 1979","Analog tape","MediaPreserve",,"Same (Side B only)",,,"PFA",,,243,,,"Kath Walker","Walker, Kath"
"Tote 23-12","Tue Jan 02 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,241,,"TWICE UPON A TIME","Jean-Pierre Gorin","Gorin, Jean-Pierre"
"Tote 23-12","Wed Jan 24 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,245,,"OUTLAW COUNTRY","Jim Szalapski","Szalapski, Jim"
"Tote 23-12","Fri Jan 26 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,246,,"I’LL ALWAYS LOVE YOU","Adriano Aprà","Aprà, Adriano"
"Tote 23-12","Tue Jan 30 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium","Online plus in-house - Full access given",,247,,"SONG OF THE CANARY","Josh Hanig|David Davis","Hanig, Josh|Davis, David"
"Tote 23-12","Wed Jan 31 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,248,,"AN ADVENTURE OF SALVATORE ROSA","Adriano Aprà","Aprà, Adriano"
"Tote 23-12","Thu Feb 01 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,249,,"THE PEDRABLES MURDER RACE|THE SPIRIT OF FRANCO","Gonzalo Herralde","Herralde, Gonzalo"
"Tote 23-12","Fri Feb 02 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,250,,"LA SIGNORA DI TUTTI","Adriano Aprà","Aprà, Adriano"
"Tote 23-12","Tue Feb 06 00:00:00 PST 1979","Analog tape","MediaPreserve","lecture",,"THE UNKNOWN ITALIAN CINEMA",,"PFA",,,251,,,"Adriano Aprà","Aprà, Adriano"
"Tote 23-12","Wed Feb 07 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium",,,252,,"KOKO: A TALKING GORILLA","Barbet Schroeder","Schroeder, Barbet"
"Tote 23-12","Mon Feb 12 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,253,,"ONLY ONCE IN A LIFETIME","Alejandro Grattan","Grattan, Alejandro"
"Tote 23-12","Tue Feb 13 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,254,,"ZOLZHENITSYN’S CHILDREN|WAITING FOR FIDEL","Michael Rubbo","Rubbo, Michael"
"Tote 23-12","Wed Feb 14 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,255,,"I HATE TO LOSE|LOG HOUSE|THE WALLS COME TUMBLING DOWN","Michael Rubbo","Rubbo, Michael"
"Tote 23-12","Thu Feb 15 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,256,,"THE MAN WHO CAN’T STOP|PERSISTENT & FINAGLING","Michael Rubbo","Rubbo, Michael"
"Tote 23-12","Fri Feb 16 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,257,,"THOMAS GRAAL’S BEST FILM|TO KILL A CHILD|THE TRAIN","Gösta Werner","Werner, Gösta"
"Tote 23-12","Sat Feb 17 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,258,,"ZOLZHENITSYN’S CHILDREN|WET EARTH AND WARM PEOPLE","Michael Rubbo","Rubbo, Michael"
"Tote 23-12","Tue Feb 20 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,259,,"I AM AN OLD TREE|SAD SONG OF YELLOW SKIN","Michael Rubbo","Rubbo, Michael"
"Tote 23-12","Tue Mar 06 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,260,,"CHAMELEON","Jon Jost","Jost, Jon"
"Tote 23-12","Tue Feb 27 00:00:00 PST 1979","Analog tape","MediaPreserve",,,"HIS FILMS",,"PFA",,,262,,,"Richard Serra","Serra, Richard"
"Tote 23-12","Sun Mar 04 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,263,,"THE BOSS’ SON","Bobby Roth","Roth, Bobby"
"Tote 23-12","Tue Mar 06 00:00:00 PST 1979","Analog tape","MediaPreserve",,,"HIS FILMS",,"PFA",,,264,,,"Vincent Grenier","Grenier, Vincent"
"Tote 23-12","Tue Mar 13 00:00:00 PST 1979","Analog tape","MediaPreserve",,,"HER FILMS",,"PFA",,,265,,,"Dana Gordon","Gordon, Dana"
"Tote 23-12","Tue Mar 20 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium",,,267,,"THE BROTHERS LIONHART","Astrid Lindgren","Lindgren, Astrid"
"Tote 23-12","Wed Mar 21 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium",,,268,,"KNIFE IN THE HEAD","Reinhard Hauff","Hauff, Reinhard"
"Tote 23-12","Wed Mar 21 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium","Online plus in-house - Full access given",,269,,"MEETINGS WITH ANNA","Chantal Akerman","Akerman, Chantal"
"Tote 23-12","Fri Mar 23 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium",,,270,,"ALEXANDRIA WHY?","Youssef Chahine","Chahine, Youssef"
"Tote 23-12","Mon Mar 26 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,271,,"HITLER: A FILM FROM GERMANY","Hans-Jurgen Syberberg","Syberberg, Hans-Jurgen"
"Tote 23-12","Sat Mar 31 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,272,,"THE IDLERS OF THE FERTILE VALLEY","Nikos Panayotopolous","Panayotopolous, Nikos"
"Tote 23-12","Sat Mar 31 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,273,,"GATES OF HEAVEN","Errol Morris","Morris, Errol"
"Tote 23-12","Fri Mar 30 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,275,,"SUGAR","Jacques Rouffio","Rouffio, Jacques"
"Tote 23-12","Fri Mar 30 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,276,,"MOUNTAIN PASS","Jean-Francois Stevenin","Stevenin, Jean-Francois"
"Tote 23-12","Thu Apr 05 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium",,,277,,"DONA FLOR AND HER TWO HUSBANDS|THE LADY IN THE BUS","Sonia Braga","Braga, Sonia"
"Tote 23-12","Fri Apr 06 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,278,,"THE LAST WOMAN|THE WEDDING MARCH","Maurizio Grande","Grande, Maurizio"
"Tote 23-12","Sat Apr 07 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,279,,"THE MAN WITH THE BALLOONS","Maurizio Grande","Grande, Maurizio"
"Tote 23-12","Tue Apr 10 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,280,,"ENTHUSIASM|FORWARD SOVIET|ZVENIGORA","P. Adams Sitney","Sitney, P. Adams"
"Tote 23-12","Wed Apr 11 00:00:00 PST 1979","Analog tape","MediaPreserve",,"Same as 280:Side B",,,"PFA",,,281,,"ENTHUSIASM|FORWARD SOVIET|ZVENIGORA","P. Adams Sitney","Sitney, P. Adams"
"Tote 23-12","Tue Apr 03 00:00:00 PST 1979","Analog tape","MediaPreserve",,,"WITH OTHER ANIMATION",,"PFA",,,282,,"ASPARAGUS","Susan Pitt","Pitt, Susan"
"Tote 23-12","Fri Apr 13 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,283,,"LA REGION CENTRALE","P. Adams Sitney|Michael Snow","Sitney, P. Adams|Snow, Michael"
"Tote 23-12","Fri Apr 13 00:00:00 PST 1979","Analog tape","MediaPreserve","lecture",,"DREYER AND BRESSON",,"PFA",,,284,,,"P. Adams Sitney","Sitney, P. Adams"
"Tote 23-12","Tue Apr 17 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,285,,"ANEMIC CINEMA|L'Age D'Or|ETOILE DE MER|LAND WITHOUT BREAD","P. Adams Sitney","Sitney, P. Adams"
"Tote 23-12","Wed Apr 25 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium",,,286,,"NINOTCHKA|MASQUERADE","Walter Reisch","Reisch, Walter"
"Tote 23-12","Thu Apr 26 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium",,,287,,"I CONFESS|POSSESSED","Rudi Fehr","Fehr, Rudi"
"Tote 23-12","Fri Apr 27 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,288,,"MASQUERADE","Walter Reisch","Reisch, Walter"
"Tote 23-12","Wed May 09 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium",,,289,,"SEVEN SAMURAI","Donald Richie","Richie, Donald"
"Tote 23-12","Sat May 12 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA",,,290,,"THE MOST BEAUTIFUL|NO REGRETS FOR OUR YOUTH","Donald Richie","Richie, Donald"
"Tote 23-12","Fri Jun 01 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium",,,291,,"NICARAGUA FREE HOMELAND OR DEATH","Roberto Vargas","Vargas, Roberto"
"Tote 23-12","Mon Jun 04 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA",,,292,,"HE WANTS HER BACK","Stanton Kaye","Kaye, Stanton"
"Tote 23-12","Sat Jul 21 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"Palace of Fine Arts (SF)",,,293,,"OUR HITLER. . .","Hans-Jurgen Syberberg","Syberberg, Hans-Jurgen"
"Tote 23-12","Wed Jul 25 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium",,,294,,"MURIEL|RAK","Delphine Seyrig|Sami Frey","Seyrig, Delphine|Frey, Sami"
"Tote 23-12","Sun Jul 29 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium",,,295,,"HITLER","Hans-Jurgen Syberberg","Syberberg, Hans-Jurgen"
"Tote 23-12","Fri Aug 03 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium",,,296,,"FINGERS","James Toback","Toback, James"
"Tote 23-12","Thu May 24 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA",,,298,,"HOUSE OF 7 GABLES","Lester Cole","Cole, Lester"
"Tote 23-12","Tue Jun 05 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA",,,299,,"The Camera:Je or La Camera:I","Babette Mangolte","Mangolte, Babette"
"Tote 23-12","Fri Sep 07 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,"EXPERIMENTAL FILMS",,"PFA",,,300,,"PASTORAL|HIDE AND SEEK","Shuji Terayama","Terayama, Shuji"
"Tote 23-12","Tue Sep 18 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,304,,"DEL CORAZON|THE NEW KLAN","Leslie Shatz|Maureen Gosling","Shatz, Leslie|Gosling, Maureen"
"Tote 23-12","Wed Sep 19 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA",,,305,,"BEFORE NEED","Dorothy Wiley|Gunvor Nelson","Wiley, Dorothy|Nelson, Gunvor"
"Tote 23-12","Wed Sep 26 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA",,,306,,"NORTHERN LIGHTS","Rob Nilsson","Nilsson, Rob"
"Tote 23-12","Mon Oct 01 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,307,,"THE FIRST TEACHER|THE FEROCIOUS ONE","Andrei Mikhalkov Konchalovsky","Konchalovsky, Andrei Mikhalkov"
"Tote 23-12","Wed Oct 03 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,308,,"A NEST OF GENTLE FOLK|THE SLAVE OF LOVE","Andrei Mikhalkov Konchalovsky","Konchalovsky, Andrei Mikhalkov"
"Tote 23-12","Thu Oct 04 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA",,,309,,"TRINDADE","Luiz Keller","Keller, Luiz"
"Tote 23-12","Sat Oct 06 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA",,,310,,"THE BLACK PANTHER","Ian Merrick","Merrick, Ian"
"Tote 23-12","Mon Oct 08 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,311,,"BACKROADS|LOVE LETTERS FROM TERALBA ROAD|MY SURVIVAL AS AN ABORIGINAL  PROTECTED","Martha Ansara","Ansara, Martha"
"Tote 23-12","Tue Jul 24 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA",,,312,,"NORTH TCHAD","Emmanuel Cousin","Cousin, Emmanuel"
"Tote 23-12","Fri Oct 12 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA",,,313,,"THE HOLOCAUST RESEARCH PROJECT","Friedrich Knilli","Knilli, Friedrich"
"Tote 23-12","Fri Oct 12 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA","unknown",,314,,"THE HOLOCAUST RESEARCH PROJECT","Friedrich Knilli","Knilli, Friedrich"
"Tote 23-12","Sun Oct 14 00:00:00 PDT 1979","Analog tape","MediaPreserve","Arab Delegation",,,,"Wheeler Auditorium","Online plus in-house - Full access given",,315,,"[Unknown]",,
